"AE201A","Introduction To Aerospace Engineering"
"AE211A","Incompressible Aerodynamics"
"AE251A","Experiments In Aerospace Engineering-I"
"AE311A","Compressible Aerodynamics"
"AE321A","Flight Mechanics I"
"AE322A","Flight Mechanics- II"
"AE331A"," Introduction to Aerospace Structures"
"AE341A","Aerospace Propulsion"
"AE345A","Spacecraft Guidance Navigation And Control"
"AE351A","Experiments In Aerospace Engineering -II"
"AE361A","Aeromodel Design & Fabrication"
"AE391A","UG Project (UGP-I)"
"AE401A","Technical Communication"
"AE421A","Experiments in flight mechanics"
"AE441A","Turbo-Machinery"
"AE451A","Experiments in Aerospace Engineering"
"AE461A","Aircraft Design-I"
"AE462A","Aircraft Design-II"
"AE471A","B Tech Project"
"AE481A","Boundary Layer Theory"
"AE601A","Intro to Aerospace Engg."
"AE602A","Mathematics For Aerospace Engg."
"AE603A","Introduction To Scientific Computing"
"AE604A","Computational Fluid Mechanics"
"AE605A","Advanced Computational Fluid Mechanics"
"AE610A","Aerodynamics-I"
"AE612A","Aerodynamics II"
"AE614A","Viscous Flows"
"AE615A"," Advanced Computational Methods In CFD"
"AE617A","Boundary Layer Instability And Transition"
"AE618A","Finite Element Methods For Fluid Dynamics"
"AE621A","Turbulence"
"AE622A","Computational Fluid Dynamics"
"AE625A","Transition And Turbulence"
"AE628A","Continuum Hypersonic Aerodynamics"
"AE629A","Advances In Wind Energy Conversion"
"AE640A","Autonomous Navigation"
"AE641A","Space Dynamics-I"
"AE645A","Spacecraft Guidance Navigation And Control "
"AE647A","Flight Dynamics"
"AE648A","Flight Stability And Control"
"AE649A","Automatic Control Of Aircraft Rockets And Spacecraft"
"AE650A","Fundamental Of Aerospace Propulsion - I"
"AE652A","Aircraft Propulsion"
"AE653A","Thermal Turbomachinery"
"AE657A","Airbreathing Missile Propulsion"
"AE658A","Numerical Modeling Of Chemically Reacting Flows"
"AE660A","Preliminary Design Of Helicopter"
"AE662A","Rocket Engine Design"
"AE670A","Aerospace Structural Analysis - I"
"AE672A","Solid Mechanics"
"AE673A","Rocket And Missile Structures"
"AE675A","Introduction To Finite Element Methods"
"AE676A","Aeroelasticity"
"AE678A","Theory of Vibrations"
"AE681A","Composite Materials"
"AE683A","Random Vibrations"
"AE684A"," Aircraft Materials And Processes"
"AE685A"," Deterministic & Random Vibration"
"AE686A","Helicopter Theory: Dynamics And Aeroelasticity"
"AE687A","Aerospace Struc Analysis II"
"AE688A","Dynamics And Vibration"
"AE689A","Introduction To The Theory Of Smart Structures"
"AE690A","High Temperature Gas Dynamics"
"AE692A","Mechanics Of Highly Deformable Structures"
"AE694A","Acoustics In Fluids"
"AE696A","Instrumentation, Measurements And Experiments In Fluids"
"AE698A"," Intro To Virtual Instrumentation"
"AE701A","Nonlinear Finite Element Method"
"AE747A",""
"AE751A","Fundamentals Of Liquid Atomization"
"AE752A","Principles Of Acousticsv"
"AE753A","Theory Of Combustion"
"AE754A","Turbulent Combustion"
"AE777A","Optimal Space Flight Control"
"ESO202A","Mechanics of Solids"
"BSE211A","Organ System, Physiology and Anatomy"
"BSE221A","BIOCHEMISTRY"
"BSE222A","Biochemical Engineering"
"BSE223A","Biochemistry & Biochemical Engineering Lab"
"BSE301A","Scientific & Professional Communication"
"BSE311A","Molecular Cell Biology"
